order_experience,inernational_oil_pr,Exchange_rate,shipowner,ship_kinds,ship_fee,chinese_bid_yn,ship size,domestic_competitor_bidding_yn,order_backlog,bid_pr,order_yn
no,29.54,1468.0,B,A,12457.0,yes,19251.49,no,108.3,16.27,yes
no,28.69,1116.0,B,A,6950.0,yes,15141.87,no,108.2,11.64,yes
no,25.84,1457.0,A,B,7990.0,no,15040.28,no,141.4,12.55,yes
no,36.05,1078.0,A,B,,no,12686.24,no,238.74,10.89,yes
yes,34.77,1211.0,A,A,,no,12675.64,yes,107.71,10.83,yes
no,16.75,1104.0,A,D,,no,14767.23,yes,244.78,10.82,yes
yes,21.17,1307.0,F,B,,no,12535.96,no,159.13,10.82,yes
no,29.85,1427.0,B,A,,yes,15883.65,no,108.2,16.77,yes
no,21.17,1138.0,H,B,,no,14223.33,no,147.74,10.82,yes
no,18.41,1364.0,D,A,,no,13268.06,no,230.54,10.82,yes
yes,21.85,1084.0,B,B,,yes,16941.76,yes,261.09,13.42,yes
yes,27.92,1128.0,A,B,,yes,16321.26,no,195.03,10.82,yes
yes,108.9,1646.0,E,C,,yes,16191.89,yes,108.11,10.96,yes
yes,51.36,1176.0,I,B,,no,15927.64,no,305.14,11.46,yes
yes,29.24,1132.0,F,B,,yes,14651.73,no,128.73,12.27,yes
no,47.14,1148.0,B,A,11218.0,yes,21839.36,no,126.47,11.46,yes
no,27.46,1304.0,I,A,8722.0,yes,19592.64,no,108.25,11.2,yes
no,39.34,1169.0,A,B,7856.0,no,14966.67,no,217.43,10.88,yes
yes,24.19,1061.0,A,B,7470.0,no,17660.87,no,107.96,10.82,yes
yes,24.52,1444.0,I,B,5440.0,yes,20479.04,no,153.04,10.82,yes
yes,23.89,1092.0,D,B,6498.0,no,14609.51,no,234.13,10.82,yes
no,24.8,1471.0,I,A,12947.0,yes,17792.5,yes,219.05,11.44,yes
yes,69.33,1366.0,E,B,18171.0,yes,20855.48,no,108.06,10.82,yes
yes,54.4,1143.0,J,E,8830.0,yes,25289.12,yes,276.66,13.43,yes
no,31.75,1196.0,F,B,7534.0,no,15187.34,no,213.2,10.82,yes
yes,21.88,1100.0,D,A,8878.0,yes,17935.08,yes,231.77,11.01,yes
no,19.67,1120.0,B,B,9602.0,yes,16169.46,no,108.2,10.82,yes
yes,37.77,1108.0,D,B,9256.0,yes,26130.4,yes,226.42,11.0,yes
no,40.67,1230.0,G,B,7890.0,no,12451.42,yes,108.79,10.82,yes
yes,59.88,1064.0,I,A,5775.0,no,14405.57,no,108.99,14.89,yes
no,35.48,1068.0,A,B,5030.0,no,17045.66,no,271.25,25.42,yes
no,21.86,1271.0,A,A,7296.0,yes,22958.21,no,151.72,10.82,yes
yes,27.09,1408.0,F,A,8404.0,yes,28812.24,yes,217.23,11.14,yes
yes,25.59,1345.0,A,B,6164.0,no,14271.59,no,146.07,10.82,yes
yes,54.78,1312.0,J,B,22239.0,yes,22948.12,yes,264.82,12.68,yes
yes,17.84,1138.0,B,F,8165.0,no,13451.57,no,198.96,10.88,yes
yes,23.61,1354.0,D,B,8386.0,yes,17720.48,yes,122.99,10.85,yes
no,24.54,1102.0,B,B,8569.0,yes,15909.35,no,145.38,10.83,yes
no,49.47,1307.0,B,B,9896.0,yes,19738.59,yes,168.41,10.82,yes
yes,45.74,1088.0,J,B,8393.0,yes,16887.0,yes,108.45,10.84,yes
yes,22.42,1479.0,A,B,8015.0,no,16935.08,no,149.46,10.82,yes
yes,12.67,1201.0,F,B,9656.0,yes,16982.05,yes,153.93,12.07,yes
yes,23.31,1083.0,C,A,9870.0,yes,21540.3,no,182.22,11.23,yes
yes,43.61,1206.0,A,A,16713.0,yes,29707.12,yes,291.09,10.82,yes
yes,52.85,1358.0,K,E,7551.0,yes,29784.52,no,108.35,12.37,yes
yes,33.1,1116.0,N,A,13208.0,no,12380.44,yes,168.12,39.97,yes
no,22.9,1156.0,B,B,10276.0,yes,25000.38,no,187.22,13.78,yes
yes,57.77,1401.0,I,A,17607.0,yes,27111.68,no,108.5,10.83,yes
yes,18.38,1045.0,J,E,7108.0,no,13179.17,yes,313.69,10.82,yes
yes,29.07,1210.0,I,B,12148.0,yes,18964.06,no,274.1,10.83,yes
yes,23.41,1132.0,D,A,7828.0,no,13602.57,yes,162.57,10.82,yes
no,22.14,1497.0,I,A,7644.0,yes,17361.58,yes,223.96,11.54,yes
yes,23.92,1105.0,J,B,5617.0,yes,19852.0,no,202.79,27.68,yes
no,18.88,1108.0,B,B,8578.0,yes,19308.13,no,108.06,10.83,yes
no,25.92,1355.0,H,B,7396.0,yes,30447.06,yes,153.34,11.52,yes
yes,18.66,1432.0,F,B,8113.0,yes,16162.57,no,138.9,11.17,yes
no,29.7,1595.0,B,A,11164.0,yes,16691.59,no,108.5,16.64,yes
no,31.98,1250.0,B,B,7875.0,no,13373.73,yes,203.73,10.82,yes
no,83.89,1561.0,E,C,6492.0,yes,35285.89,no,108.3,14.96,yes
yes,49.57,1542.0,F,B,15053.0,yes,20899.7,yes,136.3,10.82,yes
yes,26.83,1165.0,A,A,12266.0,yes,26598.07,no,237.32,11.78,yes
yes,41.53,1576.0,F,B,17272.0,yes,23209.92,yes,137.52,10.82,yes
yes,61.41,1342.0,G,A,16713.0,no,13976.84,yes,119.75,12.94,yes
yes,25.48,1170.0,D,B,8314.0,yes,12207.28,no,148.33,11.0,yes
yes,44.1,1055.0,A,A,5774.0,yes,23448.98,no,144.74,11.32,yes
yes,22.41,1515.0,A,B,4673.0,no,13318.36,no,145.73,10.82,yes
yes,22.47,1100.0,J,E,8164.0,no,15100.06,yes,317.47,10.82,yes
no,19.07,1180.0,K,E,8991.0,yes,14159.04,no,141.01,10.82,yes
no,36.09,1091.0,B,B,4981.0,yes,24243.05,no,138.21,10.82,yes
yes,41.65,1211.0,D,E,8061.0,yes,21693.6,no,108.55,11.23,yes
no,50.72,1485.0,G,A,18321.0,no,14057.78,yes,108.89,10.82,yes
yes,44.81,1267.0,B,A,25312.0,no,16526.27,yes,145.63,10.82,yes
no,21.88,1441.0,B,A,12425.0,yes,18813.31,no,109.24,16.3,yes
yes,17.21,1683.0,L,G,6180.0,no,12696.03,yes,301.31,103.74,yes
yes,56.96,1386.0,E,C,29070.0,yes,26073.19,yes,115.67,10.82,yes
yes,32.01,1175.0,A,A,12256.0,yes,23173.28,no,174.41,12.92,yes
yes,60.44,1116.0,G,A,11303.0,no,15573.89,no,186.59,11.23,yes
no,27.69,1178.0,I,A,8018.0,no,13762.47,yes,174.36,16.44,yes
yes,36.25,1222.0,I,A,10700.0,no,14069.36,yes,404.93,10.82,yes
yes,43.63,1114.0,I,A,11948.0,yes,19951.67,yes,202.2,11.89,yes
yes,25.69,1567.0,H,B,11001.0,yes,21792.41,yes,162.96,10.82,yes
yes,29.54,1058.0,B,B,6448.0,no,17162.31,yes,233.09,10.82,yes
yes,41.55,1209.0,B,A,14874.0,no,13000.59,yes,141.45,11.6,yes
yes,64.28,1498.0,G,A,16435.0,no,15437.27,yes,117.0,13.06,yes
yes,38.35,1452.0,I,A,13926.0,yes,27461.49,no,107.66,10.82,yes
no,28.88,1116.0,D,B,11538.0,yes,19594.05,yes,231.28,12.56,yes
no,56.97,1699.0,B,B,16717.0,no,15946.01,yes,115.96,23.92,yes
no,23.33,1400.0,B,B,8870.0,yes,16423.37,yes,124.07,10.82,yes
yes,36.23,1052.0,I,A,10274.0,yes,21850.67,yes,198.81,11.89,yes
yes,38.76,1241.0,D,E,10930.0,yes,22153.01,no,108.25,11.29,yes
yes,28.76,1319.0,D,B,9067.0,yes,16144.94,no,108.35,10.82,yes
no,26.68,1523.0,A,B,8571.0,no,15316.33,no,140.72,12.61,yes
yes,24.5,1102.0,C,A,9240.0,yes,25372.77,no,198.57,11.15,yes
yes,23.36,1274.0,A,B,6501.0,yes,25386.64,no,108.2,19.78,yes
no,19.75,1445.0,B,B,8237.0,yes,15855.66,yes,131.09,10.82,yes
yes,40.21,1645.0,N,F,11001.0,yes,29317.61,yes,108.74,10.96,yes
yes,27.54,1459.0,A,B,7460.0,yes,108045.3,yes,161.39,11.11,yes
no,23.51,1302.0,H,B,6561.0,no,15704.31,no,147.49,10.82,yes
no,19.85,1097.0,B,B,9193.0,yes,15535.6,yes,144.94,11.27,yes
yes,22.97,1476.0,F,A,10826.0,yes,26214.18,yes,224.4,11.15,yes
no,17.33,1072.0,B,A,5601.0,yes,29125.91,no,138.01,10.93,yes
no,49.5,1337.0,B,A,17131.0,yes,35926.41,no,108.6,13.38,yes
yes,56.26,1333.0,E,A,15544.0,yes,17315.45,no,107.76,10.82,yes
no,18.13,1426.0,H,B,7296.0,yes,20678.42,no,143.07,11.64,yes
yes,54.57,1072.0,D,E,26283.0,yes,44825.15,no,108.2,27.86,yes
yes,51.05,1426.0,L,D,20963.0,yes,32893.79,yes,121.91,11.23,yes
yes,93.41,1741.0,L,D,4958.0,no,16255.35,yes,107.96,10.82,yes
no,18.65,1057.0,B,B,8726.0,yes,19300.5,yes,144.01,11.25,yes
yes,40.14,1091.0,D,B,8238.0,yes,29733.12,no,121.17,11.34,yes
yes,49.24,1304.0,A,A,18088.0,yes,34312.0,yes,286.82,10.82,yes
yes,39.01,1039.0,J,E,8734.0,yes,14210.65,yes,194.79,13.51,yes
no,22.56,1308.0,I,A,5978.0,yes,21813.56,no,108.06,11.2,yes
yes,28.38,1141.0,A,A,16032.0,yes,26191.39,no,255.78,11.68,yes
no,13.99,1154.0,A,D,20994.0,no,12922.03,yes,249.1,10.82,yes
yes,36.51,1230.0,A,A,8126.0,yes,23909.56,no,180.94,13.45,yes
yes,36.28,1092.0,D,A,8979.0,yes,14947.22,yes,181.77,29.93,yes
no,42.49,1207.0,K,E,10497.0,no,15505.56,yes,108.11,11.15,yes
no,25.23,1160.0,H,B,8380.0,no,12713.1,yes,262.46,10.82,yes
